Remove_noise,nilai,sentimen
pesanan langsung direspon pengirimanya juga cepat terbantu sekali karena beli obat di apotek sendiri banyak yang kosong,-8,negatif
alhamdulilah ada aplikasi yang bisa terhubung langsung dengan dokter spesialis jadi tidak ribet buat konsul dan dokternya ramah terimakasih,8,positif
aplikasinya sangat membantu efisien efektif,16,positif
sangat amat membantu walaupun banyak yang sibuk dokternya karena yang sakit banyak bukan orang saja jadi tolong buat semua sabar karena dokter juga manusia,4,positif
agak kurang efektif konsul online karena dokter tidak bisa periksa pasienya dan hanya berdasarkan pengakuan pasien saja agak berisiko untuk dosis dan solusi yang diberikan tapi lumayan bermanfat untuk kondisi pandemi semoga semua cepat berlalu,-28,negatif
aku kurang paham cara pembayaran cuma tolong biaya pembayaranya lampirkan melalui bangking juga,2,netral
harga obat mahal sudah begitu tidak respon terus sisa saldo dana tidak bisa di tarik jadi tertahan sisa saldo di aplikasi parah orang yang tidak ada uang butuh sisa saldo dikembalikan tapi tidak bisa di tarik lagi nyesel isi saldo di aplikasi ini bisa cuma jawab hai mohon maf maf kalian mang bisa balikin saldo kita,-27,negatif
dokternya ada terus banyak pilihanya tidak mahal juga jasanya terbantu sekali pokokny dimasa pandemi begini alhamdulilah,-1,netral
oke banget gampang di gunakan pesen barang cepat sampai,12,positif
aplikasi yang mudah digunakan dan sangat membantu dikala pandemi takut ke rumah sakit,-4,negatif
parah order obat saya statusnya dibatalkan tapi tidak direfund lebih parah lagi kejadian lapor aplikasi maupun sosmed tidak ada tindak lanjutnya dikasih kabar tidak,-24,negatif
saya beli obat bayar pakai gopay dari tangal juli lalu malemnya ternyata dicancel uang saya sampai sekarang sudah enam hari tidak dibalikin csnya di telepon sibuk tidak ada penyelesaian dikomplain lewat chat halodocnya yang balas bot,-2,netral
baru download dan nyoba ke spesialis mata sudah ngikutin pembayaran gopay dan saldo kepotong begitu conect sama dokternya tidak bisa dong eror loading mesage terus chat tulisanya respon masa nungu balesan selama itu tidak ada yang standby tidak bisa dipake darurat aplikasi ini dan tidak tahu karena eror loading mesage itu bisa balikin saldo saya yang sudah kepotong lagi apa nga saja memang kalau kali berapa orang dalam sehari yang eror begitu chat dokternya menang banyak apa ini,-31,negatif
saya pesan obat tangal juli katanya obat datang hari otomatis pesanan obat saya datang tangal juli nyatanya pesanan obat saya sekarang belum datang kalau tidak bisa memberikan pelayanan obat datang hari jangan buat perjanjian seperti itu respon sangat buruk saya kecewa dengan pelayanan holodoc ini tolong di benahi kedua orang tua saya lagi butuh obat itu,-61,negatif
admin csnya terlalu lama untuk merespons dan dengan mudahnya harus mengakhiri obrolan sedangkan keluhan saya belum di atasi slow respon,-19,negatif
sangat membantu disituasi pandemi ini trimakasih halodoc,6,positif
kelebihan untuk mencari berbagai macam obat saya acungi jempol tapi sisi negatif kita tidak bisa memilih lokasi tempat belinya disekitar kita tidak jauh banget tolong diharapkan untuk memperhatikan drivernya saya pesen dari jaksel bahkan dapatnya hampir ke arah cibinong apa tidak kasihan walaupun saya costumer tetap itu tidak manusiawi terlalu jauh terimakasih semoga lebih baik dari sat ini,-33,negatif
sangat membantu hidup menjadi lebih sehat dan yang sakit cepat ter tangani terima kasih halodoc,11,positif
untuk di masa pandemi sekarang alhamdulilah kebantu dengan aplikasi ini,-6,negatif
terimakasih banget halodoc lagi butuh obat urgent dan tidak ada di apotek disini dengan sangat mudah dan cepat diantar langsung ke rumah ampun menolong banget sumpah terimakasih banyak,27,positif
konsultasi puas langsung chat sama dokter dari awal bukan dengan robot,11,positif
pesanan saya tidak dikabarkan apakah jadi dikirim apa tidak jika tidak dikirim tolong segera balikin dana,-6,negatif
sangat membantu sekali dokternya sangat ramah dan menerangkan dengan sangat baik,20,positif
bagus sayang saja tidak ada surat dokter tapi untungnya di kantor bisa pakai chat dokternya buat ijin mungkin kedepanya bisa ditingkatkan dengan layanan tatap muka pakai vidcal untuk lihat penyakitnya tapi kamera harus yang bagus,3,netral
untuk dokter cukup komikasif kendala harus rajin cari dokter yang bisa dichat untuk pengantaran obat beberapa lama mungkin karena stock yang sulit secara keseluruhan ok sangat mambantu dikala pandemi nga harus ke klinik,-33,negatif
ok prosesnya gampang sampai cepat terima kasih hd,17,positif
sangat membantu sekali ketika tidak bisa berangkat ke dokter namun bisa konsultasi online,0,netral
salah saya tidak baca penilaian dulu beli obat resep dari dokter halodoc juga tahu di batalkan sepihak tapi uang tidak balik juga di chat slow respon banget tidak rekomen banget pakai halodoc banyak yang sama kasusnya tidak bisa refund bagi saya uang uang sangat berarti bagaimana kelanjutanya di proses melulu tapi uang tidak balik hadeh,-29,negatif
bagus apalagi untuk di masa pandemi begini yang mengharuskan stay at home bisa konsultasi online lebih mudah,-1,netral
aplikasi cukup baik tapi saya pernah mendapatkan dokter saya belum melakukan konsultasi baru menyapa dan perkenalkan nama tiba tiba dokternya sudah mengakhiri sesi dan tidak bisa di chat ulang sehinga saya harus mengulang mencari dokter dan membayar lagi,-21,negatif
banyak pilihan dan ada keterangan lulusan universitas serta tempat praktek dan praktek bisa dihub brapa jika baru tidak online terima kasih halodoc,10,positif
oke banget mempermudah saya membeli obat dan tolong di tingkatkan lagi pelayanan,-1,netral
sudah konsul dihalodoc sudah payment proses saya bayar pakai kartu kredit jadi proses verifikasinya agak lama begitu sudah dapat notif dari c dan payment sudah diproses alias sudah bayar tiba dokter sibuk ofline lalu prosesnya lama banget sampai saya keluarin lagi saya masuk apa lagi harus mulai dari awal lagi dan bayar lagi padahal yang sebelumnya saya sudah bayar dan pilih dokternya tapi tidak kesambung sama dokternya padahal di c sudah kepotong ini terjadi sudah kayaknya tidak bakal pakai ini lagi,-17,negatif
dokter balesnya kelaman menit berasa menit saja bayar saja respon lama banget dikasih resep menit akhir di tanya lagi cara pakai dan lain lainyaeh tiba tiba selesai dan kalau beli obat kadang kadang salah kirim obatnya,-2,netral
di masa pandemi seperti ini sangat membantu sekali jaya terus halodoc,4,positif
responya cepat hanya waktu konsultasinya saja terlalu cepat menurut saya,-2,netral
kalau belanja obatnya banyak lebih baik tidak pakai halodoc karena lama dikirim saya order kamis senin malam belum sampai juga,-4,negatif
kenapa aplikasinya suka eror sampai tidak bisa masuk padahal saya sudah refresh berkali mohon diperbaiki padahal kegunanya bagus,-1,netral
saya pesan obat sudah hampir mingu belum sampai sampai dan tidak bisa membatalkan pesanan uang saya tidak bisa kembali menghubungi sangat slow respon tidak rekomended,-8,negatif
beli obat di sini harga lumayan mahal untuk pengobatan anak urgent sekali tapi sampai hari obat tidak dikirim kirim minta pembatalan minta refund bilang masih dalam proses terus tolong ini aplikasi besar bukan aplikasi tipu jangan seperti ini saya juga butuh uangnya untuk beli obat langsung di apotik saja memangnya orang sakit harus menungu berapa lama lagi untuk mendapat obatnya saya sunguh sangat kecewa,-30,negatif
aplikasi menjengkelkan tidak ada kordinasi yang baik antara operator halodoc dengan pihak klinik dan sangat merugikan pasien saya sudah payment lewat aplikasi walet halodoc tetapi klinik yang bersangkutan sedang renovasi dan dana tidak bisa di tarik kembali dan hanya bisa di gunakan untuk pengunan layanan kesehatan melalui aplikasi halodoc sunguh sangat mengecewakan sekali disat pandémi seperti ini dan pembatasan gerak ekonomi warga terdampak pihak halodoc sangat merugikan warga,-12,negatif
sangat membantu di situasi pkm yang mengharuskan mengurangi kegiatan di luar rumah,8,positif
sudah daftar onlen dengan salah satu faskes di apa tetap ikut antrian biasa awas lebih baik cek lokasi dulu sebelum daftar onlen di halodoc bahkan duluan yang daftar konvensional daftar onlen padahal sudah bayar duluan antrinya buat kerumunan sudah sembuh covid sakit lagi kalau begini ceritanya parah,5,positif
aplikasi aneh kenapa pembayaran hanya dua cara padahal aplikasi lain sudah berinovasi,-7,negatif
saya sudah complaint dari tanggal juli tentang kekurangan obat yang saya terima box curvit hanya dikirim padahal saya bayar box curvit box stimuno bukti peneriman barang sudah saya kirim sudah complaint email maupun chat tidak ada solusi jawabanya masih sama disuruh menungu tanpa ada kejelasan meskipun sudah lewat hari dari pemesanan,-8,negatif
lama sekali order belum dikonfirmasi padahal perlu segera,3,netral
dimasa pandemi kaya begini buat ke rumah sakit atau ke klinik itu rada ketar ketir apalagi cuma buat berobat ptm kaya hipertensi atau diabetes mencari obat sana sini tidak dapat akhirnya pakai aplikasi ini langsung dapat dan langsung dianter konsultasi dengan dokter ramah sekali biaya terjangkau banget suka banget sama aplikasi ini sangat sangat membantu,6,positif
baru mengunakan tapi ini sangat membantu sekali buat yang terdampak covid terimakasih kepada tenaga kesehatan dan pemerintah serta semua yang peduli untuk menangani covid ini,5,positif
saranku yang belum terlanjur download tidak perlu benar banyak telfon masuk tidak dikenal setelah instal apa ini tidak cuma aku kejadinya adiku juga begitu iseng jawab sambil lihat get contact ternyata penipu bicara dari halodoc dikasih bantuan obat tertawa minta norek pribadi sampai tahu nomer nama alamat pribadi apa tidak seram bisa database pribadi orang bocor kemana begini tidak jelas banget plis,-31,negatif
vaksin tidak bisa harus ada surat domisili tidak perlu aplikasi tidak guna lebih baik beli saja langsung ke klinik jauh jauh datang vaksin ditolak un instal,-21,negatif
pengiriman obat tidak jelas sumpah sudah komplain berkali kali jawabanya nanti di proses lebih lanjut tapi nyata kejelasan tidak ada barang tidak sampai sampai tolong kasih kejelasan bisa di kirim atau engak jng cuma bicara di proses tapi tidak ada kejelasan,4,positif
sangat membantu sat isoman tapi ada dokter yang slow respon,9,positif
pelayanan baik namun dokter banyak yang tidak bisa di chat,2,netral
saya pasien covid yang sedang melakukan isolasi mandiri saya sangat terbantu dengan program konsultasi dan obat gratis dari kemenkes dan halodoc maju terus halodoc,-12,negatif
pasti bagus dokternya baik dan di bantu dengan fasilitas resep dan pengantaran,16,positif
tolong untuk developernya ketika ada order yang instant carikan yang disekitar pembeli saja jangan jauh kasian ojolnya nempuh kamu dengan ongkos kirim yang sama dan kalau belum bisa diatur jaraknya setidaknya bisa dikasih saja kontak ojolnya supaya kita bisa konfirmasi diambil atau nga ordernya nga enak kalau main cancel sendiri semangat terus untuk pejuang keluarga mencari uang di kondisi seperti ini semoga diberikan kesehatan selalu dan diberikan rezeki yang berlimpah,-6,negatif
kecewa banget konsultasi sama dokternya bertanya apa dibalasnya apa terus saya lanjut tanya balik tidak di jawab,-1,netral
baru download tapi bnyak yang kecewa jadi ragu males takutnya aplikasi manfatkan situasi pandemi,-20,negatif
sangat membantu sekali jika pesan obat dan konsultasi dokter dari rumah,8,positif
manthap sngat membantu klu bisa seperti aplikasi gopaynya boleh biar kami bisa kasih bintang sama drivernya juga tips jadi setelah paket kami terima kasih muncul penilaian dan tips misal mcm gojekny ada atau juga klu driverny menempuh waktu yang panjang,26,positif
apan tiap mesen misal hitam karena tidak ada satu hitam saja di cancel semuanya bagaimana pihak halodoc masalahnya karena di cancel terus uang saya hilang terus seharusnya ada kebijakan jika di cancel uang ongkirnya tetep balik ini karena saya tidak tahu sebelumnya uang saya hilang karena mesen tidak ada satu saja di cancel semuanya dan terlebih uang ongkos kirim tidak balik,-51,negatif
sebaiknya ada pilihan mengisi alamat manual bukan harus pakai lokasi maps karena tidak semua tulisan alamat di maps itu sesuai kaya alamat saya yang tulisan rw salah kurir jadi bingung,-16,negatif
lama pesan obat dari hari jumat di apk tertulis obat dalam proses dan ini sudah hari belum sampai sampai di refund batalkan juga tidak bisa apk apan di chat bantuan bahkan dapat jawaban maf permintan pesan anda sedang tingi blablabla obat saya lebih tidak bisa di refund dibatalkan uninstal apnya ikhlasin saja halodoc bawa uang orang yang sedang sakit bye tidak instal instal apk ini lagi,-27,negatif
kelebihan beli obat di halodoc jenis obat banyak dilengkapi dengan bahan kegunan dan efek samping sangat membantu karena sekarang cari obat tertentu di apotek cukup susah harga memang sedikit lebih mahal tapi jika dibandingkan kita harus bolak balik cari obat di beberapa apotek sepadan kekurangan harus amat sangat sabar menungu driver sabar jika berkali kali pesanan di tolak ada baiknya pilih pesanan instan dibanding pesanan hari pilih pesan pagi atau sore,-19,negatif
sangat membantu dalam pembelian obat terimakasih,12,positif
aplikasi ini membantu banget apalagi dalam kondisi sat ini pesan obat bisa sampai sat itu juga terima kasih,7,positif
bagus sekali untuk pesan obat juga cepat,3,netral
aplikasi tidak bisa di klik sudah reinstal tetep tidak bisa,-11,negatif
untuk pemesanan product kesehatan pertama overal oke ditingkatkan lagi mantap,4,positif
mudahan tetep cepat efisien cuma awalnya saja seperti aplikasi yang satunya pesan kapan nyampenya kapan,-6,negatif
tertolong banget ini sejak ada halodoc walaupun kdg suka ngelag dan harus buka dari awal lagi tapi so far so god makasi,2,netral
masa beli obat harus beli kalau butuh cuma obat harga bagaimana masa tidak bisa aneh,-14,negatif
ini pengalaman pertama saya respon dokternya cepat ternyata bisa lewat telpon atau video untuk konsultasinya,6,positif
kenapa jadi sering banget saldo sudah ketarik tapi tidak bisa konsultasi dengan dokter,8,positif
